ResponseId,UserLanguage,Q1,Q2,Q2_Origin,Q3,Q4,Q5_1,Q5_2,Q5_3,Q6,Economic_Food,Culture_Recreation,Culture_MentalHealth_Wellbeing,Economic_Transport,Economic_RenewableEnergy,Economic_RawMaterial,Culture_Aesthetics,Culture_SenseofIdentity,Economic_OilandGas,Culture_HistoryandHeritage,Q6b,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q9,Q9b,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q13,Q14,Q14,CountryIncomeLevel,Q15,Q15b,Q16,Q17,Q17b,Q18,Q18b
R_z0a65jaf956HMv7,EN-GB,4,5,5,5,4,Health and heat stress for humans,Bush fires / liveability,Food security,"2,3,8",0,1,1,0,0,0,0,0,0,0,,4,3,3,3,5,3,3,3,2,3,3,2,3,5,2,4,1,5,5,5,"4,7,8",,"1,6,7",3,3,3,2,3,2,2,2,2,1,5,1,5,5,1,5,5,5,1,5,3,1,Australia,High income,3,,5,1,,5,
R_1CEEdlDDlbVD8JX,EN-GB,4,4,4,5,4,Loss of biodiversity,Water and food scarcity,,"1,8,9",1,0,0,0,0,0,0,0,0,0,,5,4,4,4,5,4,4,4,5,3,5,3,6,5,4,5,2,5,5,5,"5,7,8",,"4,6,7",3,NA,3,3,3,2,2,2,2,2,5,1,5,5,2,5,5,4,1,5,3,1,Australia,High income,3,,4,2,,5,
R_2aY7PEZzsdCg5WS,EN-GB,4,4,4,4,4,"Harming people from floods, wildfires ",,,"1,2,13",1,1,0,0,0,0,0,0,0,0,,5,3,5,3,5,3,4,4,3,2,3,5,6,5,3,4,1,4,3,4,"4,5,8",,"1,7,8",2,3,3,3,3,3,3,2,3,2,5,2,4,4,3,4,4,4,3,4,1,2,Austria,High income,2,,3,1,,4,
R_1112WeDvKaJY3Bd,EN-GB,4,5,5,4,4,More unpredictable weather events,Glaciers melting,Reduced food production,"1,2,8",1,1,0,0,0,0,0,0,0,0,,5,3,5,4,4,5,4,6,6,5,6,4,4,5,2,5,1,5,5,5,"5,6,8",,"1,5,6",3,3,3,3,2,2,2,2,2,5,5,1,5,5,1,5,5,5,1,5,2,2,Austria,High income,2,,3,1,,5,
R_1FPPeT6SfUBKEH9,EN-GB,4,4,4,5,4,Sea level rise,Droughts and extreme weather events,Coral bleaching,"1,2,14",1,1,0,0,0,0,0,0,0,1,,4,3,4,4,5,5,4,2,5,2,4,5,3,5,3,5,1,5,5,5,"1,5,8",,"5,6,8",3,3,3,3,3,3,3,3,4,5,5,1,5,5,1,4,5,5,1,5,3,3,Barbados,High income,3,,3,1,,5,
R_2qBLSV8sJNagojL,EN-GB,4,5,5,4,4,Drought/water scarcity,Intense hurricanes,Extreme heat,"2,3,8",0,1,1,0,0,0,0,0,0,0,,4,2,4,2,5,5,3,1,5,2,4,4,2,5,1,4,1,4,5,5,"2,5,8",,"2,6,7",3,3,3,2,3,2,2,2,1,2,5,2,4,3,2,NA,5,5,1,5,2,3,Barbados,High income,2,,2,1,,4,
R_cH33zsbjZdnF64p,EN-GB,4,5,5,3,4,Sea Level Rise,Sea Surface Temperature Rise,Increased storm intensity and frequency ,"2,5,8",0,1,0,0,0,0,0,0,0,0,,4,3,5,4,5,5,4,2,4,4,4,3,3,5,2,5,1,5,5,5,"4,7,8",,"1,6,7",3,3,3,3,3,2,2,2,2,2,5,2,5,4,3,4,4,5,2,4,2,3,Barbados,High income,2,,2,2,,3,
R_2YfGTPhIHNeMeyu,EN-GB,4,4,4,3,2,Sea level rise,Higher peam temparatures,Animals leaving or dying,"1,2,10",1,1,0,0,0,0,1,0,0,0,,3,2,3,2,3,4,2,1,1,6,3,4,1,4,2,2,1,NA,NA,5,"1,6,7",,"1,2,5",3,3,2,3,NA,3,3,2,2,1,3,2,4,2,NA,NA,4,4,NA,4,1,3,Barbados,High income,2,,2,2,,3,
R_2z6Jn2Vc3NVHiS3,EN-GB,4,4,4,4,4,More intense weather systems ,Sea level rise ,,"1,2,3",1,1,1,0,0,0,0,0,0,0,,4,3,5,3,4,5,3,2,5,5,3,4,2,5,3,5,1,5,4,5,"1,6,8",,"1,6,8",3,3,3,3,3,3,3,3,3,4,5,3,4,5,4,4,5,4,4,4,1,3,Barbados,High income,5,,2,2,,3,
R_2Vm5l5CbpyoxxEj,EN-GB,4,5,5,5,4,Desertification ,Increased floods,Warmer temperatures ,"1,3,5",1,0,1,0,0,0,0,0,0,0,,5,4,5,5,5,5,3,4,5,4,4,5,4,5,2,4,1,5,5,5,"1,4,9",,"6,7,8",2,3,3,3,3,2,2,3,1,1,5,1,5,5,3,5,5,5,1,5,3,4,Belgium,High income,3,,3,1,,4,
